longitude,latitude,deff
-153.58,61.569,-19
-154.21,61.64,-2
-154.07,61.624,-11
-153.34,61.541,12
-154.07,61.624,-10
-153.32,61.538,43
-154.07,61.624,-7
-153.52,61.562,-16
-154.07,61.625,-2
-153.94,61.61,-18
-154.36,61.657,-12
-153.9,61.606,-8
-153.9,61.605,-0
-154.25,61.644,-20
-153.49,61.559,-29
-153.94,61.61,-17
-154.07,61.625,-7
-153.94,61.61,-21
-154.29,61.649,-15
-154.46,61.667,-5
-153.36,61.543,23
-154.07,61.625,-5
-154.07,61.625,-11
-154.39,61.66,7.3
-153.47,61.556,-12
-153.49,61.559,-31
-154.37,61.658,3.1
-153.7,61.583,6.9
-154.18,61.637,-5
-154.06,61.624,-27
-154.47,61.669,-3
-154.47,61.669,-11
-154.3,61.65,-12
-154.37,61.658,-10
-154.31,61.652,6.3
-154.07,61.626,-5
-154.07,61.625,-12
-154.07,61.625,-3
-154.06,61.624,-23
-153.35,61.543,16
-153.36,61.544,12
-154.15,61.634,-8
-154.07,61.626,-5
-154.07,61.626,-8
-153.54,61.565,-4
-154.47,61.67,-15
-154.08,61.626,-4
-153.35,61.544,21
-153.33,61.54,14
-153.59,61.571,3.8
-153.97,61.615,-16
-154.06,61.624,-26
-154.02,61.62,7.8
-154.07,61.626,-7
-153.34,61.542,16
-154.38,61.659,2.5
-153.38,61.547,18
-153.36,61.545,14
-154.07,61.626,-16
-153.94,61.611,-17
-154.07,61.625,-12
-154.02,61.62,0.2
-154.07,61.626,-14
-153.32,61.54,34
-153.34,61.543,14
-154.07,61.626,-6
-153.34,61.542,10
-153.38,61.548,0.7
-154.4,61.662,13
-154.39,61.662,15
-153.36,61.545,9
-153.38,61.548,1.7
-154.02,61.621,5.2
-153.89,61.606,-11
-154.07,61.626,-15
-154.39,61.662,9.4
-153.46,61.558,2.3
-153.54,61.566,-4
-153.89,61.606,-13
-154.07,61.626,-19
-154.39,61.662,20
-154.07,61.626,-16
-153.46,61.558,-3
-153.37,61.547,11
-154.24,61.646,-14
-154.42,61.666,18
-153.48,61.56,-7
-154.11,61.631,6.4
-154.29,61.651,-10
-153.75,61.592,-4
-153.86,61.604,-28
-154.24,61.646,-10
-154.2,61.642,-7
-153.36,61.546,12
-153.34,61.544,14
-153.49,61.562,-18
-153.98,61.617,-9
-153.92,61.611,-27
-154.06,61.627,-10
-153.98,61.617,-9
-153.98,61.617,-20
-154.41,61.666,7.5
